,Name,Genre,Revenue,Director,Tomatometer,Audience
322,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
323,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
324,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
325,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
326,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
327,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
328,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
329,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
330,Reptile,"Crime, Drama",,Grant Singer,45,7
331,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
332,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
