,Name,Genre,Revenue,Director,Tomatometer,Audience
333,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
334,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
335,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
336,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
337,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
338,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
339,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
340,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
341,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
342,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
343,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
344,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
345,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
346,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
347,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
348,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
349,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
350,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
351,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
352,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
353,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
354,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
355,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
356,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
357,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
358,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
359,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
360,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
361,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
362,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
363,Memory,Drama,$378.7K,Michel Franco,84,73
364,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
365,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
366,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
367,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
368,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
369,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
370,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
371,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
372,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
373,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
374,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
375,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
376,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
377,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
378,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
379,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
380,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
381,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
382,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
383,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
384,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
385,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
386,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
387,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
388,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
389,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
390,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
391,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
392,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
393,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
394,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
395,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
396,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
397,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
398,Code 8,Sci-fi,,Jeff Chan,81,62
399,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
400,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
401,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
402,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
403,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
404,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
405,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
406,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
407,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
408,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
409,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
410,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
411,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
412,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
413,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
414,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
415,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
416,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
417,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
418,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
419,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
420,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
421,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
422,Dune,"Sci-fi, Adventure",,David Lynch,37,65
423,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
424,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
425,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
426,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
427,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
428,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
429,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
430,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
431,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
432,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
433,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
434,Ferrari,Drama,$18.5M,Michael Mann,72,74
435,May December,"Drama, Romance",,Todd Haynes,9,66
436,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
437,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
438,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
439,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
440,Upgraded,"Romance, Comedy",,Carlson Young,77,67
441,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
442,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
443,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
444,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
445,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
446,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
447,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
448,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
449,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
450,Reptile,"Crime, Drama",,Grant Singer,45,7
451,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
452,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
453,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
454,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
455,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
456,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
457,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
458,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
459,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
460,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
461,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
462,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
463,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
464,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
465,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
466,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
467,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
468,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
469,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
470,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
471,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
472,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
473,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
474,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
475,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
476,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
477,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
478,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
479,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
480,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
481,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
482,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
483,Memory,Drama,$378.7K,Michel Franco,84,73
484,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
485,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
486,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
487,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
488,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
489,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
490,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
491,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
492,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
493,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
494,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
495,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
496,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
497,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
498,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
499,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
500,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
501,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
502,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
503,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,75
504,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
505,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
506,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
507,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
508,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
509,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
510,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
511,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
512,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
513,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
514,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
515,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
516,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
517,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
518,Code 8,Sci-fi,,Jeff Chan,81,62
519,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
520,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
521,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
522,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
523,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
524,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
525,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
526,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
527,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
528,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
529,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
530,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
531,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
532,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
533,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
534,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
535,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
536,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
537,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
538,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
539,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
540,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
541,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
542,Dune,"Sci-fi, Adventure",,David Lynch,37,65
543,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
544,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
545,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
546,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
547,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
548,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
549,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
550,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
551,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
552,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
553,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
554,Ferrari,Drama,$18.5M,Michael Mann,72,74
555,May December,"Drama, Romance",,Todd Haynes,9,66
556,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
557,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
558,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
559,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
560,Upgraded,"Romance, Comedy",,Carlson Young,77,67
561,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
562,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
563,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
564,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
565,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
566,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
567,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
568,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
569,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
570,Reptile,"Crime, Drama",,Grant Singer,45,7
571,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
572,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
573,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
574,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
575,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
576,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
577,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
578,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
579,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
580,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
581,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
582,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
583,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
584,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
585,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
586,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
587,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
588,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
589,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
590,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
591,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
592,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
593,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
594,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
595,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
596,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
597,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
598,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
599,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
600,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
601,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
602,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
603,Memory,Drama,$378.7K,Michel Franco,84,73
604,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
605,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
606,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
607,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
608,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
609,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
610,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
611,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
612,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
613,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
614,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
615,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
616,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
617,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
618,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
619,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
620,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
